nombre_localidad,anio,casos_consumo,casos_violencia,en_psicoactivas,en_vif,poblacion,poblacion_baja,tasa_consumo_100k,tasa_violencia_100k
suba,2020,414,2215,True,True,578556.0,False,71.55746375458901,382.84971549858614
suba,2021,1100,3267,True,True,590219.0,False,186.37149939259834,553.5233531960171
suba,2022,760,4881,True,True,600755.0,False,126.50747809007,812.4776323126732
suba,2023,856,5574,True,True,610618.0,False,140.18584450507518,912.8456743823469
suba,2024,976,6622,True,True,619835.0,False,157.46125985141205,1068.3488347705436
sumapaz,2015,1,200,True,True,1601.0,False,62.46096189881324,12492.192379762648
sumapaz,2021,1,80,True,True,1816.0,False,55.06607929515419,4405.286343612335
sumapaz,2022,1,68,True,True,1875.0,False,53.333333333333336,3626.666666666667
sumapaz,2023,1,66,True,True,1926.0,False,51.92107995846313,3426.791277258567
sumapaz,2024,1,46,True,True,1974.0,False,50.658561296859176,2330.293819655522
teusaquillo,2015,166,283,True,True,67745.0,False,245.03653406155436,417.7430068639752
teusaquillo,2016,123,253,True,True,67745.0,False,181.5632149974168,373.4592958889955
teusaquillo,2017,194,245,True,True,67745.0,False,286.3679976382021,361.6503062956676
teusaquillo,2018,138,326,True,True,67745.0,False,203.70507048490663,481.2163259281127
teusaquillo,2019,218,403,True,True,69301.0,False,314.56977532791734,581.521190170416
teusaquillo,2020,158,279,True,True,71569.0,False,220.76597409492936,389.8335871676284
teusaquillo,2021,535,398,True,True,72772.0,False,735.1728686857582,546.9136481064146
teusaquillo,2022,324,549,True,True,71468.0,False,453.34975093748255,768.1759668662899
teusaquillo,2023,356,585,True,True,69653.0,False,511.10504931589446,839.8776793533659
teusaquillo,2024,412,702,True,True,68105.0,False,604.9482416856325,1030.7613244255194
tunjuelito,2015,363,626,True,True,83369.0,False,435.41364296081275,750.8786239489499
tunjuelito,2016,411,539,True,True,83369.0,False,492.98900070769713,646.523288032722
tunjuelito,2017,365,836,True,True,83369.0,False,437.81261620026623,1002.7708140915688
tunjuelito,2018,150,821,True,True,83369.0,False,179.92299295901353,984.7785147956674
tunjuelito,2019,524,881,True,True,85805.0,False,610.6870229007634,1026.7466930831536
tunjuelito,2020,469,768,True,True,87963.0,False,533.1787228721167,873.0943692234235
tunjuelito,2021,330,766,True,True,88825.0,False,371.51702786377706,862.3698283141008
tunjuelito,2022,239,1039,True,True,89990.0,False,265.585065007223,1154.572730303367
tunjuelito,2023,207,1135,True,True,90946.0,False,227.6075913179249,1247.993314714226
tunjuelito,2024,258,1191,True,True,91914.0,False,280.69717344474185,1295.776486715843
usaquén,2015,137,2798,True,True,246937.0,False,55.47973774687471,1133.0825271223025
usaquén,2016,312,2366,True,True,246937.0,False,126.34801589069278,958.1391205044202
usaquén,2017,186,2007,True,True,246937.0,False,75.32285562714377,812.7579099122447
usaquén,2018,189,1398,True,True,246937.0,False,76.53774039532351,566.136301971758
usaquén,2019,400,1130,True,True,253770.0,False,157.6230444891043,445.2851006817197
usaquén,2020,285,861,True,True,260040.0,False,109.59852330410706,331.1029072450392
usaquén,2021,516,1117,True,True,262649.0,False,196.45991418204525,425.28241112663676
usaquén,2022,375,1666,True,True,266383.0,False,140.77474913939704,625.4152855099612
usaquén,2023,325,1930,True,True,269584.0,False,120.55611608997566,715.9178586266247
usaquén,2024,467,2190,True,True,272967.0,False,171.08295141903602,802.2947828858433
usme,2015,1456,2944,True,True,176971.0,False,822.7336682281278,1663.549395098632
usme,2016,1043,2468,True,True,176971.0,False,589.3620988749569,1394.5787727932825
usme,2017,341,2365,True,True,176971.0,False,192.68693740782388,1336.3771465381335
usme,2018,155,2504,True,True,176971.0,False,87.58497154901085,1414.921088765956
usme,2019,625,2367,True,True,183590.0,False,340.43248542948965,1289.285908818563
usme,2020,398,2052,True,True,189204.0,False,210.35496078307014,1084.5436671529144
usme,2021,403,2345,True,True,193699.0,False,208.05476538340415,1210.6412526652177
usme,2022,271,3007,True,True,197986.0,False,136.87836513692886,1518.7942581798713
usme,2023,345,3550,True,True,201919.0,False,170.86059261386993,1758.1307355919946
usme,2024,569,3936,True,True,205894.0,False,276.35579472932676,1911.6632830485587
sumapaz,2016,0,135,False,True,1601.0,False,0.0,8432.229856339787
sumapaz,2017,0,66,False,True,1601.0,False,0.0,4122.423485321674
sumapaz,2018,0,111,False,True,1601.0,False,0.0,6933.16677076827
sumapaz,2019,0,65,False,True,1682.0,False,0.0,3864.4470868014273
sumapaz,2020,0,72,False,True,1752.0,False,0.0,4109.58904109589
