nombre_localidad,anio,casos_consumo,casos_violencia,en_psicoactivas,en_vif
usme,2020,398,2052,True,True
usme,2021,403,2345,True,True
usme,2022,271,3007,True,True
usme,2023,345,3550,True,True
usme,2024,569,3936,True,True
sumapaz,2016,0,135,False,True
sumapaz,2017,0,66,False,True
sumapaz,2018,0,111,False,True
sumapaz,2019,0,65,False,True
sumapaz,2020,0,72,False,True
